MODEL,THRESHOLD,ACCURACY,PRECISION,RECALL,F1,ROC_AUC,PR_AUC
Dummy,0.5,0.9241089778876039,0.0,0.0,0.0,0.5,0.07589102211239607
Logistic Regression,0.5,0.9690657218198557,0.8318340696580969,0.7424892703862661,0.7846264560182086,0.981320335271384,0.8347289051464617
XGBoost,0.5,0.9714250344341856,0.8061656193616624,0.8208352469790793,0.8134342998391336,0.9879603682014375,0.8797689032263415
XGBoost Operational,0.46,0.9711065332407076,0.7906810781879544,0.8422469632421646,0.8156498266924328,0.9879603682014375,0.8797689032263415
